ConfigID,CompartmentLayout,SFI,GET_mean,GET_std,SET_mean,SET_std
C01,redis:C1 | newlib:C1 | lwip:C1 | uksched:C1,redis:N newlib:N lwip:N uksched:N,886732.400,15217.476,722701.712,11902.088
C02,redis:C1 | newlib:C1 | lwip:C2 | uksched:C1,redis:N newlib:N lwip:N uksched:N,706307.290,9022.349,594657.476,9632.139
C03,redis:C1 | newlib:C1 | lwip:C1 | uksched:C1,redis:N newlib:N lwip:N uksched:Y,631457.588,10588.257,510898.782,10394.488
C04,redis:C1 | newlib:C1 | lwip:C1 | uksched:C1,redis:N newlib:N lwip:Y uksched:N,580066.662,3830.295,478950.876,3760.052
C05,redis:C1 | newlib:C1 | lwip:C2 | uksched:C1,redis:N newlib:N lwip:N uksched:Y,528625.700,7446.160,431851.816,6277.775
C06,redis:C1 | newlib:C1 | lwip:C1 | uksched:C1,redis:N newlib:N lwip:Y uksched:Y,521004.042,10405.691,438982.924,864.070
C07,redis:C1 | newlib:C1 | lwip:C2 | uksched:C1,redis:N newlib:N lwip:Y uksched:N,484540.038,5171.946,410598.380,6739.303
C08,redis:C1 | newlib:C1 | lwip:C2 | uksched:C1,redis:N newlib:N lwip:Y uksched:Y,449256.558,3369.510,387018.994,3256.149
C09,redis:C1 | newlib:C1 | lwip:C1 | uksched:C1,redis:Y newlib:N lwip:N uksched:N,396582.640,5913.686,285966.744,5612.091
C10,redis:C1 | newlib:C1 | lwip:C1 | uksched:C1,redis:Y newlib:N lwip:N uksched:Y,370681.968,4119.062,277169.854,1662.992
C11,redis:C1 | newlib:C1 | lwip:C2 | uksched:C1,redis:Y newlib:N lwip:N uksched:N,339700.104,3345.726,257878.182,2070.539
C12,redis:C1 | newlib:C1 | lwip:C1 | uksched:C1,redis:Y newlib:N lwip:Y uksched:N,333817.806,4049.300,257467.614,591.073
C13,redis:C1 | newlib:C1 | lwip:C2 | uksched:C1,redis:Y newlib:N lwip:N uksched:Y,319083.110,907.173,243321.060,1911.909
C14,redis:C1 | newlib:C1 | lwip:C1 | uksched:C1,redis:Y newlib:N lwip:Y uksched:Y,312228.840,6719.095,237203.732,1895.043
C15,redis:C1 | newlib:C1 | lwip:C1 | uksched:C2,redis:N newlib:N lwip:N uksched:N,302507.518,14276.369,279336.874,12487.300
C16,redis:C1 | newlib:C1 | lwip:C2 | uksched:C1,redis:Y newlib:N lwip:Y uksched:N,300662.104,495.448,235294.634,391.483
C17,redis:C1 | newlib:C1 | lwip:C2 | uksched:C1,redis:Y newlib:N lwip:Y uksched:Y,290740.720,3945.631,229580.764,1879.578
C18,redis:C1 | newlib:C1 | lwip:C3 | uksched:C2,redis:N newlib:N lwip:N uksched:N,277331.024,12458.542,259462.988,11002.690
C19,redis:C1 | newlib:C1 | lwip:C1 | uksched:C2,redis:N newlib:N lwip:N uksched:Y,271591.840,329.328,237148.866,12282.022
C20,redis:C1 | newlib:C1 | lwip:C2 | uksched:C2,redis:N newlib:N lwip:N uksched:N,267991.450,22558.715,264132.200,622.894
C21,redis:C1 | newlib:C1 | lwip:C2 | uksched:C3,redis:N newlib:N lwip:N uksched:N,265641.214,15071.728,250959.414,19885.681
C22,redis:C1 | newlib:C1 | lwip:C1 | uksched:C2,redis:N newlib:N lwip:Y uksched:N,257732.398,11003.302,225730.218,20332.645
C23,redis:C1 | newlib:C1 | lwip:C1 | uksched:C1,redis:N newlib:Y lwip:N uksched:N,254384.154,4362.794,200739.486,2053.834
C24,redis:C1 | newlib:C1 | lwip:C3 | uksched:C2,redis:N newlib:N lwip:N uksched:Y,244875.424,10427.855,225414.962,8816.454
C25,redis:C1 | newlib:C1 | lwip:C1 | uksched:C1,redis:N newlib:Y lwip:N uksched:Y,243915.186,1969.212,191950.706,1704.010
C26,redis:C1 | newlib:C1 | lwip:C2 | uksched:C2,redis:N newlib:N lwip:N uksched:Y,242586.198,13049.981,230526.528,1260.239
C27,redis:C1 | newlib:C1 | lwip:C2 | uksched:C3,redis:N newlib:N lwip:N uksched:Y,241045.082,18298.898,228835.346,827.979
C28,redis:C1 | newlib:C1 | lwip:C1 | uksched:C2,redis:N newlib:N lwip:Y uksched:Y,241036.912,12592.209,218529.948,17104.720
C29,redis:C1 | newlib:C1 | lwip:C2 | uksched:C1,redis:N newlib:Y lwip:N uksched:N,235854.838,1307.083,186522.274,2383.918
C30,redis:C1 | newlib:C1 | lwip:C3 | uksched:C2,redis:N newlib:N lwip:Y uksched:N,234695.008,8884.433,217432.604,7721.655
C31,redis:C1 | newlib:C1 | lwip:C2 | uksched:C2,redis:N newlib:N lwip:Y uksched:N,232396.528,11767.651,218776.566,7984.290
C32,redis:C1 | newlib:C1 | lwip:C1 | uksched:C1,redis:N newlib:Y lwip:Y uksched:N,231544.678,4266.020,187339.874,944.038
C33,redis:C1 | newlib:C1 | lwip:C1 | uksched:C1,redis:N newlib:Y lwip:Y uksched:Y,228113.362,1782.356,183621.396,301.192
C34,redis:C1 | newlib:C1 | lwip:C3 | uksched:C2,redis:N newlib:N lwip:Y uksched:Y,227380.762,9196.968,209730.084,8074.977
C35,redis:C1 | newlib:C1 | lwip:C2 | uksched:C1,redis:N newlib:Y lwip:N uksched:Y,226730.818,4596.067,184033.612,1277.524
C36,redis:C1 | newlib:C1 | lwip:C2 | uksched:C2,redis:N newlib:N lwip:Y uksched:Y,226024.868,8851.847,209019.194,7891.288
C37,redis:C1 | newlib:C1 | lwip:C2 | uksched:C3,redis:N newlib:N lwip:Y uksched:Y,222902.226,17125.205,194783.234,22859.050
C38,redis:C1 | newlib:C1 | lwip:C2 | uksched:C1,redis:N newlib:Y lwip:Y uksched:N,221248.018,1582.133,177936.394,316.615
C39,redis:C1 | newlib:C1 | lwip:C2 | uksched:C3,redis:N newlib:N lwip:Y uksched:N,212216.426,44596.460,207021.950,24260.507
C40,redis:C1 | newlib:C1 | lwip:C2 | uksched:C1,redis:N newlib:Y lwip:Y uksched:Y,210010.720,1975.352,168668.442,2671.814
C41,redis:C1 | newlib:C1 | lwip:C1 | uksched:C2,redis:Y newlib:N lwip:N uksched:Y,209383.396,909.664,172311.380,5282.085
C42,redis:C1 | newlib:C1 | lwip:C2 | uksched:C2,redis:Y newlib:N lwip:N uksched:N,201084.962,6943.600,168894.386,5444.494
C43,redis:C1 | newlib:C1 | lwip:C2 | uksched:C3,redis:Y newlib:N lwip:N uksched:N,200644.508,784.629,155689.350,12917.505
C44,redis:C1 | newlib:C1 | lwip:C1 | uksched:C2,redis:Y newlib:N lwip:Y uksched:N,197106.394,6484.438,168862.332,311.911
C45,redis:C1 | newlib:C1 | lwip:C1 | uksched:C2,redis:Y newlib:N lwip:N uksched:N,195654.710,26287.605,177313.002,5333.496
C46,redis:C1 | newlib:C1 | lwip:C3 | uksched:C2,redis:Y newlib:N lwip:N uksched:N,194521.922,8068.180,165728.370,10211.433
C47,redis:C1 | newlib:C1 | lwip:C1 | uksched:C1,redis:Y newlib:Y lwip:N uksched:N,194352.642,2547.505,145969.538,2191.952
C48,redis:C1 | newlib:C1 | lwip:C2 | uksched:C2,redis:Y newlib:N lwip:N uksched:Y,189365.556,17829.459,166446.472,600.704
C49,redis:C1 | newlib:C1 | lwip:C2 | uksched:C3,redis:Y newlib:N lwip:Y uksched:N,188324.718,433.552,159337.420,226.838
C50,redis:C1 | newlib:C1 | lwip:C1 | uksched:C1,redis:Y newlib:Y lwip:N uksched:Y,188296.514,3176.173,142736.510,552.646
C51,redis:C1 | newlib:C1 | lwip:C3 | uksched:C2,redis:Y newlib:N lwip:Y uksched:N,187971.254,558.665,149905.910,16512.444
C52,redis:C1 | newlib:C1 | lwip:C2 | uksched:C3,redis:Y newlib:N lwip:N uksched:Y,184483.662,8686.430,162761.728,516.335
C53,redis:C1 | newlib:C1 | lwip:C1 | uksched:C1,redis:Y newlib:Y lwip:Y uksched:N,184434.886,504.999,139827.748,1084.187
C54,redis:C1 | newlib:C1 | lwip:C2 | uksched:C1,redis:Y newlib:Y lwip:N uksched:N,184163.806,635.016,140163.294,2222.521
C55,redis:C1 | newlib:C1 | lwip:C2 | uksched:C2,redis:Y newlib:N lwip:Y uksched:N,182449.132,7242.361,157005.124,4710.202
C56,redis:C1 | newlib:C1 | lwip:C1 | uksched:C2,redis:Y newlib:N lwip:Y uksched:Y,181319.856,21040.739,164312.350,408.771
C57,redis:C1 | newlib:C1 | lwip:C2 | uksched:C1,redis:Y newlib:Y lwip:N uksched:Y,180318.406,1359.162,137106.260,1116.528
C58,redis:C1 | newlib:C1 | lwip:C3 | uksched:C2,redis:Y newlib:N lwip:Y uksched:Y,178308.252,6223.761,151573.978,5306.984
C59,redis:C1 | newlib:C1 | lwip:C3 | uksched:C2,redis:Y newlib:N lwip:N uksched:Y,177242.900,19531.626,156869.400,9866.343
C60,redis:C1 | newlib:C1 | lwip:C1 | uksched:C1,redis:Y newlib:Y lwip:Y uksched:Y,175530.000,5693.490,137175.040,376.922
C61,redis:C1 | newlib:C1 | lwip:C2 | uksched:C2,redis:Y newlib:N lwip:Y uksched:Y,174003.436,19530.719,154655.500,272.833
C62,redis:C1 | newlib:C1 | lwip:C2 | uksched:C1,redis:Y newlib:Y lwip:Y uksched:N,172093.200,4433.878,134235.656,1113.635
C63,redis:C1 | newlib:C1 | lwip:C2 | uksched:C3,redis:Y newlib:N lwip:Y uksched:Y,168802.756,13435.601,153432.282,4402.167
C64,redis:C1 | newlib:C1 | lwip:C2 | uksched:C1,redis:Y newlib:Y lwip:Y uksched:Y,166961.408,1842.122,130039.228,2329.793
C65,redis:C1 | newlib:C1 | lwip:C1 | uksched:C2,redis:N newlib:Y lwip:N uksched:Y,163026.556,402.887,137175.558,478.835
C66,redis:C1 | newlib:C1 | lwip:C2 | uksched:C3,redis:N newlib:Y lwip:N uksched:N,161033.960,4553.323,133765.594,10833.998
C67,redis:C1 | newlib:C1 | lwip:C1 | uksched:C2,redis:N newlib:Y lwip:N uksched:N,161007.466,6049.771,138449.522,3184.148
C68,redis:C1 | newlib:C1 | lwip:C1 | uksched:C2,redis:N newlib:Y lwip:Y uksched:N,159631.010,4176.200,133478.666,8432.955
C69,redis:C1 | newlib:C1 | lwip:C3 | uksched:C2,redis:N newlib:Y lwip:N uksched:N,159242.138,5580.621,138850.468,161.364
C70,redis:C1 | newlib:C1 | lwip:C2 | uksched:C2,redis:N newlib:Y lwip:N uksched:N,159182.518,5419.899,129889.726,2975.483
C71,redis:C1 | newlib:C1 | lwip:C2 | uksched:C2,redis:N newlib:Y lwip:N uksched:Y,156402.828,1101.101,127782.960,6034.026
C72,redis:C1 | newlib:C1 | lwip:C1 | uksched:C2,redis:N newlib:Y lwip:Y uksched:Y,155808.436,4197.491,133793.374,3310.707
C73,redis:C1 | newlib:C1 | lwip:C2 | uksched:C3,redis:N newlib:Y lwip:Y uksched:N,148899.164,432.753,125432.602,5192.957
C74,redis:C1 | newlib:C1 | lwip:C2 | uksched:C3,redis:N newlib:Y lwip:Y uksched:Y,146001.678,7772.662,127866.140,2901.167
C75,redis:C1 | newlib:C1 | lwip:C2 | uksched:C3,redis:N newlib:Y lwip:N uksched:Y,144615.332,13848.443,127610.796,3818.021
C76,redis:C1 | newlib:C1 | lwip:C3 | uksched:C2,redis:N newlib:Y lwip:N uksched:Y,144295.940,12813.396,129127.364,3108.818
C77,redis:C1 | newlib:C1 | lwip:C3 | uksched:C2,redis:N newlib:Y lwip:Y uksched:Y,144244.430,7441.162,127993.112,2798.976
C78,redis:C1 | newlib:C1 | lwip:C3 | uksched:C2,redis:N newlib:Y lwip:Y uksched:N,144007.682,7076.821,124075.252,5347.876
C79,redis:C1 | newlib:C1 | lwip:C2 | uksched:C2,redis:N newlib:Y lwip:Y uksched:N,142334.164,9741.384,122869.574,7411.509
C80,redis:C1 | newlib:C1 | lwip:C2 | uksched:C2,redis:N newlib:Y lwip:Y uksched:Y,141346.412,5000.396,123236.624,2829.390
C81,redis:C1 | newlib:C1 | lwip:C1 | uksched:C2,redis:Y newlib:Y lwip:N uksched:Y,135430.100,603.017,108730.310,2142.705
C82,redis:C1 | newlib:C1 | lwip:C1 | uksched:C2,redis:Y newlib:Y lwip:Y uksched:N,134579.964,3200.556,110316.186,2265.948
C83,redis:C1 | newlib:C1 | lwip:C2 | uksched:C2,redis:Y newlib:Y lwip:N uksched:N,133964.308,3977.898,109856.582,4198.629
C84,redis:C1 | newlib:C1 | lwip:C1 | uksched:C2,redis:Y newlib:Y lwip:N uksched:N,133203.654,8775.071,109346.466,2773.905
C85,redis:C1 | newlib:C1 | lwip:C3 | uksched:C2,redis:Y newlib:Y lwip:N uksched:N,132998.366,3854.610,110546.398,204.736
C86,redis:C1 | newlib:C1 | lwip:C1 | uksched:C2,redis:Y newlib:Y lwip:Y uksched:Y,132842.558,921.082,108146.026,2233.053
C87,redis:C1 | newlib:C1 | lwip:C2 | uksched:C3,redis:Y newlib:Y lwip:N uksched:N,130370.184,3178.672,108816.128,2584.387
C88,redis:C1 | newlib:C1 | lwip:C2 | uksched:C3,redis:Y newlib:Y lwip:N uksched:Y,130039.192,169.105,100936.388,10113.447
C89,redis:C1 | newlib:C1 | lwip:C2 | uksched:C2,redis:Y newlib:Y lwip:N uksched:Y,129905.582,6417.010,106012.198,2774.623
C90,redis:C1 | newlib:C1 | lwip:C3 | uksched:C2,redis:Y newlib:Y lwip:N uksched:Y,128350.168,3500.760,105131.452,377.725
C91,redis:C1 | newlib:C1 | lwip:C3 | uksched:C2,redis:Y newlib:Y lwip:Y uksched:N,125691.902,307.087,101164.560,3737.851
C92,redis:C1 | newlib:C1 | lwip:C2 | uksched:C3,redis:Y newlib:Y lwip:Y uksched:N,125471.068,294.049,101984.356,2451.221
C93,redis:C1 | newlib:C1 | lwip:C2 | uksched:C3,redis:Y newlib:Y lwip:Y uksched:Y,125007.950,3259.234,105020.116,143.744
C94,redis:C1 | newlib:C1 | lwip:C2 | uksched:C2,redis:Y newlib:Y lwip:Y uksched:Y,121706.286,2766.395,100986.082,2135.587
C95,redis:C1 | newlib:C1 | lwip:C3 | uksched:C2,redis:Y newlib:Y lwip:Y uksched:Y,120538.022,9938.384,104027.804,2088.291
C96,redis:C1 | newlib:C1 | lwip:C2 | uksched:C2,redis:Y newlib:Y lwip:Y uksched:N,116521.014,11249.685,102297.408,2464.626
